,datetime,set_no
0,2020-12-26 03:00:00+07:00,0
1,2020-12-26 06:00:00+07:00,0
2,2020-12-26 09:00:00+07:00,0
3,2020-12-26 12:00:00+07:00,0
4,2020-12-26 15:00:00+07:00,0
5,2020-12-26 18:00:00+07:00,0
6,2020-12-26 21:00:00+07:00,0
7,2020-12-27 00:00:00+07:00,0
8,2020-12-27 03:00:00+07:00,0
9,2020-12-27 06:00:00+07:00,0
10,2020-12-27 09:00:00+07:00,0
11,2020-12-27 12:00:00+07:00,0
12,2020-12-27 15:00:00+07:00,0
13,2020-12-27 18:00:00+07:00,0
14,2020-12-27 21:00:00+07:00,0
15,2020-12-28 00:00:00+07:00,0
16,2020-12-28 03:00:00+07:00,0
17,2020-12-28 06:00:00+07:00,0
18,2020-12-28 09:00:00+07:00,0
19,2020-12-28 12:00:00+07:00,0
20,2020-12-28 15:00:00+07:00,0
21,2020-12-28 18:00:00+07:00,0
22,2020-12-28 21:00:00+07:00,0
23,2020-12-29 00:00:00+07:00,0
24,2020-11-05 03:00:00+07:00,1
25,2020-11-05 06:00:00+07:00,1
26,2020-11-05 09:00:00+07:00,1
27,2020-11-05 12:00:00+07:00,1
28,2020-11-05 15:00:00+07:00,1
29,2020-11-05 18:00:00+07:00,1
30,2020-11-05 21:00:00+07:00,1
31,2020-11-06 00:00:00+07:00,1
32,2020-11-06 03:00:00+07:00,1
33,2020-11-06 06:00:00+07:00,1
34,2020-11-06 09:00:00+07:00,1
35,2020-11-06 12:00:00+07:00,1
36,2020-11-06 15:00:00+07:00,1
37,2020-11-06 18:00:00+07:00,1
38,2020-11-06 21:00:00+07:00,1
39,2020-11-07 00:00:00+07:00,1
40,2020-11-07 03:00:00+07:00,1
41,2020-11-07 06:00:00+07:00,1
42,2020-11-07 09:00:00+07:00,1
43,2020-11-07 12:00:00+07:00,1
44,2020-11-07 15:00:00+07:00,1
45,2020-11-07 18:00:00+07:00,1
46,2020-11-07 21:00:00+07:00,1
47,2020-11-08 00:00:00+07:00,1
48,2021-10-17 03:00:00+07:00,2
49,2021-10-17 06:00:00+07:00,2
50,2021-10-17 09:00:00+07:00,2
51,2021-10-17 12:00:00+07:00,2
52,2021-10-17 15:00:00+07:00,2
53,2021-10-17 18:00:00+07:00,2
54,2021-10-17 21:00:00+07:00,2
55,2021-10-18 00:00:00+07:00,2
56,2021-10-18 03:00:00+07:00,2
57,2021-10-18 06:00:00+07:00,2
58,2021-10-18 09:00:00+07:00,2
59,2021-10-18 12:00:00+07:00,2
60,2021-10-18 15:00:00+07:00,2
61,2021-10-18 18:00:00+07:00,2
62,2021-10-18 21:00:00+07:00,2
63,2021-10-19 00:00:00+07:00,2
64,2021-10-19 03:00:00+07:00,2
65,2021-10-19 06:00:00+07:00,2
66,2021-10-19 09:00:00+07:00,2
67,2021-10-19 12:00:00+07:00,2
68,2021-10-19 15:00:00+07:00,2
69,2021-10-19 18:00:00+07:00,2
70,2021-10-19 21:00:00+07:00,2
71,2021-10-20 00:00:00+07:00,2
72,2020-12-04 03:00:00+07:00,3
73,2020-12-04 06:00:00+07:00,3
74,2020-12-04 09:00:00+07:00,3
75,2020-12-04 12:00:00+07:00,3
76,2020-12-04 15:00:00+07:00,3
77,2020-12-04 18:00:00+07:00,3
78,2020-12-04 21:00:00+07:00,3
79,2020-12-05 00:00:00+07:00,3
80,2020-12-05 03:00:00+07:00,3
81,2020-12-05 06:00:00+07:00,3
82,2020-12-05 09:00:00+07:00,3
83,2020-12-05 12:00:00+07:00,3
84,2020-12-05 15:00:00+07:00,3
85,2020-12-05 18:00:00+07:00,3
86,2020-12-05 21:00:00+07:00,3
87,2020-12-06 00:00:00+07:00,3
88,2020-12-06 03:00:00+07:00,3
89,2020-12-06 06:00:00+07:00,3
90,2020-12-06 09:00:00+07:00,3
91,2020-12-06 12:00:00+07:00,3
92,2020-12-06 15:00:00+07:00,3
93,2020-12-06 18:00:00+07:00,3
94,2020-12-06 21:00:00+07:00,3
95,2020-12-07 00:00:00+07:00,3
96,2021-03-31 03:00:00+07:00,4
97,2021-03-31 06:00:00+07:00,4
98,2021-03-31 09:00:00+07:00,4
99,2021-03-31 12:00:00+07:00,4
100,2021-03-31 15:00:00+07:00,4
101,2021-03-31 18:00:00+07:00,4
102,2021-03-31 21:00:00+07:00,4
103,2021-04-01 00:00:00+07:00,4
104,2021-04-01 03:00:00+07:00,4
105,2021-04-01 06:00:00+07:00,4
106,2021-04-01 09:00:00+07:00,4
107,2021-04-01 12:00:00+07:00,4
108,2021-04-01 15:00:00+07:00,4
109,2021-04-01 18:00:00+07:00,4
110,2021-04-01 21:00:00+07:00,4
111,2021-04-02 00:00:00+07:00,4
112,2021-04-02 03:00:00+07:00,4
113,2021-04-02 06:00:00+07:00,4
114,2021-04-02 09:00:00+07:00,4
115,2021-04-02 12:00:00+07:00,4
116,2021-04-02 15:00:00+07:00,4
117,2021-04-02 18:00:00+07:00,4
118,2021-04-02 21:00:00+07:00,4
119,2021-04-03 00:00:00+07:00,4
120,2021-03-11 03:00:00+07:00,5
121,2021-03-11 06:00:00+07:00,5
122,2021-03-11 09:00:00+07:00,5
123,2021-03-11 12:00:00+07:00,5
124,2021-03-11 15:00:00+07:00,5
125,2021-03-11 18:00:00+07:00,5
126,2021-03-11 21:00:00+07:00,5
127,2021-03-12 00:00:00+07:00,5
128,2021-03-12 03:00:00+07:00,5
129,2021-03-12 06:00:00+07:00,5
130,2021-03-12 09:00:00+07:00,5
131,2021-03-12 12:00:00+07:00,5
132,2021-03-12 15:00:00+07:00,5
133,2021-03-12 18:00:00+07:00,5
134,2021-03-12 21:00:00+07:00,5
135,2021-03-13 00:00:00+07:00,5
136,2021-03-13 03:00:00+07:00,5
137,2021-03-13 06:00:00+07:00,5
138,2021-03-13 09:00:00+07:00,5
139,2021-03-13 12:00:00+07:00,5
140,2021-03-13 15:00:00+07:00,5
141,2021-03-13 18:00:00+07:00,5
142,2021-03-13 21:00:00+07:00,5
143,2021-03-14 00:00:00+07:00,5
144,2021-05-30 03:00:00+07:00,6
145,2021-05-30 06:00:00+07:00,6
146,2021-05-30 09:00:00+07:00,6
147,2021-05-30 12:00:00+07:00,6
148,2021-05-30 15:00:00+07:00,6
149,2021-05-30 18:00:00+07:00,6
150,2021-05-30 21:00:00+07:00,6
151,2021-05-31 00:00:00+07:00,6
152,2021-05-31 03:00:00+07:00,6
153,2021-05-31 06:00:00+07:00,6
154,2021-05-31 09:00:00+07:00,6
155,2021-05-31 12:00:00+07:00,6
156,2021-05-31 15:00:00+07:00,6
157,2021-05-31 18:00:00+07:00,6
158,2021-05-31 21:00:00+07:00,6
159,2021-06-01 00:00:00+07:00,6
160,2021-06-01 03:00:00+07:00,6
161,2021-06-01 06:00:00+07:00,6
162,2021-06-01 09:00:00+07:00,6
163,2021-06-01 12:00:00+07:00,6
164,2021-06-01 15:00:00+07:00,6
165,2021-06-01 18:00:00+07:00,6
166,2021-06-01 21:00:00+07:00,6
167,2021-06-02 00:00:00+07:00,6
168,2020-11-27 03:00:00+07:00,7
169,2020-11-27 06:00:00+07:00,7
170,2020-11-27 09:00:00+07:00,7
171,2020-11-27 12:00:00+07:00,7
172,2020-11-27 15:00:00+07:00,7
173,2020-11-27 18:00:00+07:00,7
174,2020-11-27 21:00:00+07:00,7
175,2020-11-28 00:00:00+07:00,7
176,2020-11-28 03:00:00+07:00,7
177,2020-11-28 06:00:00+07:00,7
178,2020-11-28 09:00:00+07:00,7
179,2020-11-28 12:00:00+07:00,7
180,2020-11-28 15:00:00+07:00,7
181,2020-11-28 18:00:00+07:00,7
182,2020-11-28 21:00:00+07:00,7
183,2020-11-29 00:00:00+07:00,7
184,2020-11-29 03:00:00+07:00,7
185,2020-11-29 06:00:00+07:00,7
186,2020-11-29 09:00:00+07:00,7
187,2020-11-29 12:00:00+07:00,7
188,2020-11-29 15:00:00+07:00,7
189,2020-11-29 18:00:00+07:00,7
190,2020-11-29 21:00:00+07:00,7
191,2020-11-30 00:00:00+07:00,7
192,2021-09-16 03:00:00+07:00,8
193,2021-09-16 06:00:00+07:00,8
194,2021-09-16 09:00:00+07:00,8
195,2021-09-16 12:00:00+07:00,8
196,2021-09-16 15:00:00+07:00,8
197,2021-09-16 18:00:00+07:00,8
198,2021-09-16 21:00:00+07:00,8
199,2021-09-17 00:00:00+07:00,8
200,2021-09-17 03:00:00+07:00,8
201,2021-09-17 06:00:00+07:00,8
202,2021-09-17 09:00:00+07:00,8
203,2021-09-17 12:00:00+07:00,8
204,2021-09-17 15:00:00+07:00,8
205,2021-09-17 18:00:00+07:00,8
206,2021-09-17 21:00:00+07:00,8
207,2021-09-18 00:00:00+07:00,8
208,2021-09-18 03:00:00+07:00,8
209,2021-09-18 06:00:00+07:00,8
210,2021-09-18 09:00:00+07:00,8
211,2021-09-18 12:00:00+07:00,8
212,2021-09-18 15:00:00+07:00,8
213,2021-09-18 18:00:00+07:00,8
214,2021-09-18 21:00:00+07:00,8
215,2021-09-19 00:00:00+07:00,8
216,2021-06-09 03:00:00+07:00,9
217,2021-06-09 06:00:00+07:00,9
218,2021-06-09 09:00:00+07:00,9
219,2021-06-09 12:00:00+07:00,9
220,2021-06-09 15:00:00+07:00,9
221,2021-06-09 18:00:00+07:00,9
222,2021-06-09 21:00:00+07:00,9
223,2021-06-10 00:00:00+07:00,9
224,2021-06-10 03:00:00+07:00,9
225,2021-06-10 06:00:00+07:00,9
226,2021-06-10 09:00:00+07:00,9
227,2021-06-10 12:00:00+07:00,9
228,2021-06-10 15:00:00+07:00,9
229,2021-06-10 18:00:00+07:00,9
230,2021-06-10 21:00:00+07:00,9
231,2021-06-11 00:00:00+07:00,9
232,2021-06-11 03:00:00+07:00,9
233,2021-06-11 06:00:00+07:00,9
234,2021-06-11 09:00:00+07:00,9
235,2021-06-11 12:00:00+07:00,9
236,2021-06-11 15:00:00+07:00,9
237,2021-06-11 18:00:00+07:00,9
238,2021-06-11 21:00:00+07:00,9
239,2021-06-12 00:00:00+07:00,9
240,2020-12-23 03:00:00+07:00,10
241,2020-12-23 06:00:00+07:00,10
242,2020-12-23 09:00:00+07:00,10
243,2020-12-23 12:00:00+07:00,10
244,2020-12-23 15:00:00+07:00,10
245,2020-12-23 18:00:00+07:00,10
246,2020-12-23 21:00:00+07:00,10
247,2020-12-24 00:00:00+07:00,10
248,2020-12-24 03:00:00+07:00,10
249,2020-12-24 06:00:00+07:00,10
250,2020-12-24 09:00:00+07:00,10
251,2020-12-24 12:00:00+07:00,10
252,2020-12-24 15:00:00+07:00,10
253,2020-12-24 18:00:00+07:00,10
254,2020-12-24 21:00:00+07:00,10
255,2020-12-25 00:00:00+07:00,10
256,2020-12-25 03:00:00+07:00,10
257,2020-12-25 06:00:00+07:00,10
258,2020-12-25 09:00:00+07:00,10
259,2020-12-25 12:00:00+07:00,10
260,2020-12-25 15:00:00+07:00,10
261,2020-12-25 18:00:00+07:00,10
262,2020-12-25 21:00:00+07:00,10
263,2020-12-26 00:00:00+07:00,10
264,2020-12-17 03:00:00+07:00,11
265,2020-12-17 06:00:00+07:00,11
266,2020-12-17 09:00:00+07:00,11
267,2020-12-17 12:00:00+07:00,11
268,2020-12-17 15:00:00+07:00,11
269,2020-12-17 18:00:00+07:00,11
270,2020-12-17 21:00:00+07:00,11
271,2020-12-18 00:00:00+07:00,11
272,2020-12-18 03:00:00+07:00,11
273,2020-12-18 06:00:00+07:00,11
274,2020-12-18 09:00:00+07:00,11
275,2020-12-18 12:00:00+07:00,11
276,2020-12-18 15:00:00+07:00,11
277,2020-12-18 18:00:00+07:00,11
278,2020-12-18 21:00:00+07:00,11
279,2020-12-19 00:00:00+07:00,11
280,2020-12-19 03:00:00+07:00,11
281,2020-12-19 06:00:00+07:00,11
282,2020-12-19 09:00:00+07:00,11
283,2020-12-19 12:00:00+07:00,11
284,2020-12-19 15:00:00+07:00,11
285,2020-12-19 18:00:00+07:00,11
286,2020-12-19 21:00:00+07:00,11
287,2020-12-20 00:00:00+07:00,11
288,2022-01-19 03:00:00+07:00,12
289,2022-01-19 06:00:00+07:00,12
290,2022-01-19 09:00:00+07:00,12
291,2022-01-19 12:00:00+07:00,12
292,2022-01-19 15:00:00+07:00,12
293,2022-01-19 18:00:00+07:00,12
294,2022-01-19 21:00:00+07:00,12
295,2022-01-20 00:00:00+07:00,12
296,2022-01-20 03:00:00+07:00,12
297,2022-01-20 06:00:00+07:00,12
298,2022-01-20 09:00:00+07:00,12
299,2022-01-20 12:00:00+07:00,12
300,2022-01-20 15:00:00+07:00,12
301,2022-01-20 18:00:00+07:00,12
302,2022-01-20 21:00:00+07:00,12
303,2022-01-21 00:00:00+07:00,12
304,2022-01-21 03:00:00+07:00,12
305,2022-01-21 06:00:00+07:00,12
306,2022-01-21 09:00:00+07:00,12
307,2022-01-21 12:00:00+07:00,12
308,2022-01-21 15:00:00+07:00,12
309,2022-01-21 18:00:00+07:00,12
310,2022-01-21 21:00:00+07:00,12
311,2022-01-22 00:00:00+07:00,12
312,2022-01-23 03:00:00+07:00,13
313,2022-01-23 06:00:00+07:00,13
314,2022-01-23 09:00:00+07:00,13
315,2022-01-23 12:00:00+07:00,13
316,2022-01-23 15:00:00+07:00,13
317,2022-01-23 18:00:00+07:00,13
318,2022-01-23 21:00:00+07:00,13
319,2022-01-24 00:00:00+07:00,13
320,2022-01-24 03:00:00+07:00,13
321,2022-01-24 06:00:00+07:00,13
322,2022-01-24 09:00:00+07:00,13
323,2022-01-24 12:00:00+07:00,13
324,2022-01-24 15:00:00+07:00,13
325,2022-01-24 18:00:00+07:00,13
326,2022-01-24 21:00:00+07:00,13
327,2022-01-25 00:00:00+07:00,13
328,2022-01-25 03:00:00+07:00,13
329,2022-01-25 06:00:00+07:00,13
330,2022-01-25 09:00:00+07:00,13
331,2022-01-25 12:00:00+07:00,13
332,2022-01-25 15:00:00+07:00,13
333,2022-01-25 18:00:00+07:00,13
334,2022-01-25 21:00:00+07:00,13
335,2022-01-26 00:00:00+07:00,13
336,2021-03-21 03:00:00+07:00,14
337,2021-03-21 06:00:00+07:00,14
338,2021-03-21 09:00:00+07:00,14
339,2021-03-21 12:00:00+07:00,14
340,2021-03-21 15:00:00+07:00,14
341,2021-03-21 18:00:00+07:00,14
342,2021-03-21 21:00:00+07:00,14
343,2021-03-22 00:00:00+07:00,14
344,2021-03-22 03:00:00+07:00,14
345,2021-03-22 06:00:00+07:00,14
346,2021-03-22 09:00:00+07:00,14
347,2021-03-22 12:00:00+07:00,14
348,2021-03-22 15:00:00+07:00,14
349,2021-03-22 18:00:00+07:00,14
350,2021-03-22 21:00:00+07:00,14
351,2021-03-23 00:00:00+07:00,14
352,2021-03-23 03:00:00+07:00,14
353,2021-03-23 06:00:00+07:00,14
354,2021-03-23 09:00:00+07:00,14
355,2021-03-23 12:00:00+07:00,14
356,2021-03-23 15:00:00+07:00,14
357,2021-03-23 18:00:00+07:00,14
358,2021-03-23 21:00:00+07:00,14
359,2021-03-24 00:00:00+07:00,14
360,2021-09-11 03:00:00+07:00,15
361,2021-09-11 06:00:00+07:00,15
362,2021-09-11 09:00:00+07:00,15
363,2021-09-11 12:00:00+07:00,15
364,2021-09-11 15:00:00+07:00,15
365,2021-09-11 18:00:00+07:00,15
366,2021-09-11 21:00:00+07:00,15
367,2021-09-12 00:00:00+07:00,15
368,2021-09-12 03:00:00+07:00,15
369,2021-09-12 06:00:00+07:00,15
370,2021-09-12 09:00:00+07:00,15
371,2021-09-12 12:00:00+07:00,15
372,2021-09-12 15:00:00+07:00,15
373,2021-09-12 18:00:00+07:00,15
374,2021-09-12 21:00:00+07:00,15
375,2021-09-13 00:00:00+07:00,15
376,2021-09-13 03:00:00+07:00,15
377,2021-09-13 06:00:00+07:00,15
378,2021-09-13 09:00:00+07:00,15
379,2021-09-13 12:00:00+07:00,15
380,2021-09-13 15:00:00+07:00,15
381,2021-09-13 18:00:00+07:00,15
382,2021-09-13 21:00:00+07:00,15
383,2021-09-14 00:00:00+07:00,15
384,2021-09-01 03:00:00+07:00,16
385,2021-09-01 06:00:00+07:00,16
386,2021-09-01 09:00:00+07:00,16
387,2021-09-01 12:00:00+07:00,16
388,2021-09-01 15:00:00+07:00,16
389,2021-09-01 18:00:00+07:00,16
390,2021-09-01 21:00:00+07:00,16
391,2021-09-02 00:00:00+07:00,16
392,2021-09-02 03:00:00+07:00,16
393,2021-09-02 06:00:00+07:00,16
394,2021-09-02 09:00:00+07:00,16
395,2021-09-02 12:00:00+07:00,16
396,2021-09-02 15:00:00+07:00,16
397,2021-09-02 18:00:00+07:00,16
398,2021-09-02 21:00:00+07:00,16
399,2021-09-03 00:00:00+07:00,16
400,2021-09-03 03:00:00+07:00,16
401,2021-09-03 06:00:00+07:00,16
402,2021-09-03 09:00:00+07:00,16
403,2021-09-03 12:00:00+07:00,16
404,2021-09-03 15:00:00+07:00,16
405,2021-09-03 18:00:00+07:00,16
406,2021-09-03 21:00:00+07:00,16
407,2021-09-04 00:00:00+07:00,16
408,2021-07-29 03:00:00+07:00,17
409,2021-07-29 06:00:00+07:00,17
410,2021-07-29 09:00:00+07:00,17
411,2021-07-29 12:00:00+07:00,17
412,2021-07-29 15:00:00+07:00,17
413,2021-07-29 18:00:00+07:00,17
414,2021-07-29 21:00:00+07:00,17
415,2021-07-30 00:00:00+07:00,17
416,2021-07-30 03:00:00+07:00,17
417,2021-07-30 06:00:00+07:00,17
418,2021-07-30 09:00:00+07:00,17
419,2021-07-30 12:00:00+07:00,17
420,2021-07-30 15:00:00+07:00,17
421,2021-07-30 18:00:00+07:00,17
422,2021-07-30 21:00:00+07:00,17
423,2021-07-31 00:00:00+07:00,17
424,2021-07-31 03:00:00+07:00,17
425,2021-07-31 06:00:00+07:00,17
426,2021-07-31 09:00:00+07:00,17
427,2021-07-31 12:00:00+07:00,17
428,2021-07-31 15:00:00+07:00,17
429,2021-07-31 18:00:00+07:00,17
430,2021-07-31 21:00:00+07:00,17
431,2021-08-01 00:00:00+07:00,17
432,2021-10-02 03:00:00+07:00,18
433,2021-10-02 06:00:00+07:00,18
434,2021-10-02 09:00:00+07:00,18
435,2021-10-02 12:00:00+07:00,18
436,2021-10-02 15:00:00+07:00,18
437,2021-10-02 18:00:00+07:00,18
438,2021-10-02 21:00:00+07:00,18
439,2021-10-03 00:00:00+07:00,18
440,2021-10-03 03:00:00+07:00,18
441,2021-10-03 06:00:00+07:00,18
442,2021-10-03 09:00:00+07:00,18
443,2021-10-03 12:00:00+07:00,18
444,2021-10-03 15:00:00+07:00,18
445,2021-10-03 18:00:00+07:00,18
446,2021-10-03 21:00:00+07:00,18
447,2021-10-04 00:00:00+07:00,18
448,2021-10-04 03:00:00+07:00,18
449,2021-10-04 06:00:00+07:00,18
450,2021-10-04 09:00:00+07:00,18
451,2021-10-04 12:00:00+07:00,18
452,2021-10-04 15:00:00+07:00,18
453,2021-10-04 18:00:00+07:00,18
454,2021-10-04 21:00:00+07:00,18
455,2021-10-05 00:00:00+07:00,18
456,2021-12-01 03:00:00+07:00,19
457,2021-12-01 06:00:00+07:00,19
458,2021-12-01 09:00:00+07:00,19
459,2021-12-01 12:00:00+07:00,19
460,2021-12-01 15:00:00+07:00,19
461,2021-12-01 18:00:00+07:00,19
462,2021-12-01 21:00:00+07:00,19
463,2021-12-02 00:00:00+07:00,19
